category,total_genomes
Clostridioides,260
Enterococcus_B,237
Blautia_A,162
Streptococcus,88
Mediterraneibacter,65
Lacticaseibacillus,58
Agathobacter,57
Enterococcus,57
Faecalibacillus,50
Enterocloster,47
Anaerostipes,45
Clostridium_Q,43
Clostridium,40
Coprococcus,39
Faecalibacterium,39
Dorea,35
Roseburia,34
Lactiplantibacillus,30
Lactobacillus,30
Fusicatenibacter,29
Erysipelatoclostridium,28
Ruminococcus_E,27
Limosilactobacillus,27
Lachnospira,27
Ruminococcus_B,26
Ruminococcus_D,25
CAG-81,25
Dorea_A,24
Agathobaculum,23
Staphylococcus,23
Ligilactobacillus,23
Eisenbergiella,23
Clostridium_F,22
Eubacterium_G,22
Blautia,21
Faecalimonas,20
Clostridium_P,20
Clostridium_AQ,20
Turicibacter,20
Hungatella,18
RUG115,18
Anaerobutyricum,17
Bariatricus,17
Acetatifactor,16
Flavonifractor,16
Longicatena,15
Veillonella,15
Pediococcus,14
Bacillus_A,14
Sellimonas,13
Ruminococcus_A,12
Listeria,12
Enterococcus_D,12
Lawsonibacter,11
Holdemanella,11
Ruthenibacterium,11
UBA7182,11
Muricomes,10
Schaedlerella,10
Anaerotruncus,10
