user_genome genus
MGYG000000002	Blautia_A
MGYG000000004	Anaerotruncus
MGYG000000006	Staphylococcus
MGYG000000007	Lactobacillus
MGYG000000009	Ligilactobacillus
MGYG000000014	Clostridium
MGYG000000018	Coprococcus
MGYG000000021	Limosilactobacillus
MGYG000000022	Faecalibacterium
MGYG000000023	Streptococcus
MGYG000000028	Anaerostipes
MGYG000000032	Hungatella
MGYG000000037	Turicibacter
MGYG000000038	Dorea_A
MGYG000000041	Acetatifactor
MGYG000000045	Faecalibacillus
MGYG000000048	Clostridium_P
MGYG000000059	Lawsonibacter
MGYG000000060	Lachnospira
MGYG000000068	Agathobaculum
MGYG000000076	Roseburia
MGYG000000077	Anaerobutyricum
MGYG000000087	CAG-81
MGYG000000099	Flavonifractor
MGYG000000106	Enterococcus_D
MGYG000000119	Blautia
MGYG000000136	Agathobacter
MGYG000000139	Eubacterium_G
MGYG000000141	UBA7182
MGYG000000146	Dorea
MGYG000000148	Faecalimonas
MGYG000000154	RUG115
MGYG000000159	Sellimonas
MGYG000000162	Enterococcus_B
MGYG000000172	Enterocloster
MGYG000000175	Muricomes
MGYG000000186	Holdemanella
MGYG000000214	Veillonella
MGYG000000249	Mediterraneibacter
MGYG000000251	Fusicatenibacter
MGYG000000258	Ruminococcus_E
MGYG000000268	Schaedlerella
MGYG000001293	Lacticaseibacillus
MGYG000001296	Pediococcus
MGYG000001298	Listeria
MGYG000001304	Erysipelatoclostridium
MGYG000001309	Clostridium_F
MGYG000001315	Bariatricus
MGYG000001352	Clostridium_AQ
MGYG000001367	Clostridium_Q
MGYG000001380	Ruminococcus_B
MGYG000001398	Longicatena
MGYG000001694	Enterococcus
MGYG000001712	Bacillus_A
MGYG000002267	Eisenbergiella
MGYG000002321	Ruminococcus_D
MGYG000002369	Clostridioides
MGYG000002386	Lactiplantibacillus
MGYG000003682	Ruthenibacterium
MGYG000003695	Ruminococcus_A
